literal,code,standard,contributor,province
's-graveland,10534,s-Graveland,cedarproject,Noord-Holland
's-graveland,10534,Wijdemeren,cedarproject,Noord-Holland
's-gravenambacht,10935,s-Gravenambacht,cedarproject,Zuid-Holland
's-gravendeel,10052,s-Gravendeel,cedarproject,Zuid-Holland
's-gravenhage,11434,s-Gravenhage,cedarproject,Zuid-Holland
's-gravenhoek,11420,s-Gravenhoek,cedarproject,Zeeland
's-gravenmoer,10469,s-Gravenmoer,cedarproject,Noord-Brabant
's-gravenpolder,11059,s-Gravenpolder,cedarproject,Zeeland
's-gravenzande,10640,s-Gravenzande,cedarproject,Zuid-Holland
's-gravesloot,10882,s-Gravesloot,cedarproject,Utrecht
's-heer abtskerke,10337,s-Heer Abtskerke,cedarproject,Zeeland
's-heer arendskerke,10875,s-Heer Arendskerke,cedarproject,Zeeland
's-heer hendrikskinderen,10117,s-Heer Hendrikskinderen,cedarproject,Zeeland
's-heerenberg,10350,Bergh,cedarproject,Gelderland
's-heerenberg,10350,s-Heerenberg,cedarproject,Gelderland
's-heerenberg,10350,Montferland,cedarproject,Gelderland
's-heerenhoek,10721,s-Heerenhoek,cedarproject,Zeeland
's-hertogenbosch,10054,s-Hertogenbosch,cedarproject,Noord-Brabant
't woud,11446,t Woud,cedarproject,Zuid-Holland
't zandt,10956,t Zandt,cedarproject,Groningen
aa en hunze,10787,Aa en Hunze,cedarproject,Drenthe
aa en hunze,10787,Anloo,cedarproject,Drenthe
aagtekerke,10531,Aagtekerke,cedarproject,Zeeland
aalburg,11084,Aalburg,cedarproject,Noord-Brabant
aalburg,11084,Wijk en Aalburg,cedarproject,Noord-Brabant
aalsmeer,11264,Aalsmeer,cedarproject,Noord-Holland
aalst,11423,Aalst [NB],cedarproject,Noord-Brabant
aalten,11046,Aalten,cedarproject,Gelderland
aardenburg,11020,Aardenburg,cedarproject,Zeeland
aardenburg,11020,Sluis-Aardenburg,cedarproject,Zeeland
aarlanderveen,11242,Aarlanderveen,cedarproject,Zuid-Holland
aarle-rixtel,10757,Aarle-Rixtel,cedarproject,Noord-Brabant
abbekerk,10439,Abbekerk,cedarproject,Noord-Holland
abbenbroek,11026,Abbenbroek,cedarproject,Zuid-Holland
abcoude,10712,Abcoude [1],cedarproject,Utrecht
abcoude,10712,Abcoude [2],cedarproject,Utrecht
abcoude,10712,Abcoude-Proostdij,cedarproject,Utrecht
abcoude-baambrugge,11184,Abcoude-Baambrugge,cedarproject,Utrecht
abcoude-baambrugge,11184,Baambrugge,cedarproject,Utrecht
abcoude-proostdij,10712,Abcoude [1],cedarproject,Utrecht
abcoude-proostdij,10712,Abcoude [2],cedarproject,Utrecht
abcoude-proostdij,10712,Abcoude-Proostdij,cedarproject,Utrecht
abstede,11068,Abstede,cedarproject,Utrecht
abtsregt,10946,Abtsregt,cedarproject,Zuid-Holland
achthoven,10141,Achthoven,cedarproject,Utrecht
achtkarspelen,10199,Achtkarspelen,cedarproject,Friesland
achtkarspelen,10199,Buitenpost,cedarproject,Friesland
achttienhoven,10972,Achttienhoven [ZH],cedarproject,Zuid-Holland
ackersdijk en vrouwenregt,10013,Ackersdijk en Vrouwenregt,cedarproject,Zuid-Holland
adorp,10996,Adorp,cedarproject,Groningen
aduard,10999,Aduard,cedarproject,Groningen
aengwirden,10157,Ængwirden,cedarproject,Friesland
aengwirden,10157,Tjalleberd,cedarproject,Friesland
afferden,11015,Afferden [Ge],cedarproject,Gelderland
akersloot,10346,Akersloot,cedarproject,Noord-Holland
akkrum,10140,Akkrum,cedarproject,Friesland
akkrum,10140,Utingeradeel,cedarproject,Friesland
alblasserdam,11327,Alblasserdam,cedarproject,Zuid-Holland
albrandswaard,10124,Albrandswaard [1],cedarproject,Zuid-Holland
albrandswaard,10124,Albrandswaard [2],cedarproject,Zuid-Holland
alem,10745,Alem,cedarproject,Noord-Brabant
"alem, maren en kessel",10495,"Alem, Maren en Kessel",cedarproject,Noord-Brabant
"alem, maren en kessel",10495,Maren,cedarproject,Noord-Brabant
alkemade,10349,Alkemade,cedarproject,Zuid-Holland
alkemade,10349,Kaag en Braassem,cedarproject,Zuid-Holland
alkmaar,10527,Alkmaar,cedarproject,Noord-Holland
almelo,11053,Almelo [1],cedarproject,Overijssel
almelo,11053,Almelo [2],cedarproject,Overijssel
almelo,11053,Stad Almelo,cedarproject,Overijssel
